"","is","ferdatimi_skoli","styrikerfi_simi","ferdamati_skoli","systkini_fjoldi","dyr","feministi","staerdfraedi_gaman","smjor_kostar","napoleon_faeddur","stefnumot","messi_staerd","kosid"
"1","Jarðaberja",15,"Android","Með einkabíl",1,"Hunda","Rétt",9,750,1750,"Á kaffihús",170,"Rétt"
"2","Vanilla",20,"iOS","Með einkabíl",2,"Hunda","Rétt",8,700,1784,"Á ísrúnt",168,"Rangt"
"3","Súkkulaði",8,"iOS","Með einkabíl",3,"Hunda","Rangt",7,800,1778,"Á ísrúnt",170,"Rangt"
"4","Jarðaberja",12,"Android","Gangandi / skokkandi",2,"Ketti","Rétt",3,700,1870,"Á ísrúnt",160,"Rétt"
"5","Súkkulaði",15,"iOS","Með einkabíl",2,"Hunda","Rétt",9,1100,1779,"Á kaffihús",169,"Rétt"
"6","Súkkulaði",42,"Android","Með einkabíl",5,"Hunda","Rétt",7,437,1767,"Á ísrúnt",174,"Rétt"
"7","Súkkulaði",20,"iOS","Með einkabíl",2,"Hunda","Rétt",7,1490,1739,"Á ísrúnt",169,"Rangt"
"8","Jarðaberja",7,"Android","Gangandi / skokkandi",3,"Hunda","Rétt",7,279,1551,"Á ísrúnt",179,"Rétt"
"9","Vanilla",15,"Android","Með einkabíl",2,"Hunda","Rétt",9,1400,1698,"Á ísrúnt",170,"Rétt"
"10","Vanilla",25,"iOS","Með einkabíl",2,"Hunda","Rétt",8,1200,1769,"Á kaffihús",170,"Rétt"
"11","Vanilla",15,"Android","Með einkabíl",0,"Hunda","Rétt",9,754,1756,"Á kaffihús",173,"Rangt"
"12","Súkkulaði",16,"Android","Gangandi / skokkandi",1,"Ketti","Rétt",8,742,1758,"Í fjallgöngu",164,"Rétt"
"13","Jarðaberja",5,"iOS","Gangandi / skokkandi",3,"Ketti","Rétt",4,300,100,"Á ísrúnt",174,"Rangt"
"14","Súkkulaði",3,"iOS","Með einkabíl",1,"Hunda","Rétt",8,500,1802,"Í fjallgöngu",160,"Rétt"
"15","Jarðaberja",8,"iOS","Með einkabíl",4,"Hunda","Rétt",6,570,1840,"Í fjallgöngu",158,"Rétt"
"16","Súkkulaði",40,"iOS","Með strætó",1,"Ketti","Rétt",6,600,1763,"Í fjallgöngu",167,"Rétt"
"17","Vanilla",6,"iOS","Með einkabíl",7,"Ketti","Rétt",8,469,1762,"Á ísrúnt",153,"Rangt"
"18","Súkkulaði",30,"Android","Með einkabíl",2,"Hunda","Rétt",9,300,1769,"Í bíó",160,"Rangt"
"19","Súkkulaði",20,"iOS","Með einkabíl",1,"Hunda","Rétt",8,560,1700,"Á ísrúnt",165,"Rétt"
"20","Súkkulaði",20,"iOS","Með einkabíl",2,"Hunda","Rangt",9,569,1800,"Á ísrúnt",175,"Rétt"
"21","Vanilla",30,"iOS","Með einkabíl",4,"Hunda","Rangt",8,759,1769,"Á ísrúnt",170,"Rangt"
