"namskeid";"kronukast";"haed";"thyngd";"aldur";"kyn";"reykir";"drekkur";"likamsraekt";"fyrriPuls";"seinniPuls";"inngrip";"dagsetning"
"STAE209";"landvaettir";161;60;23;1;"nei";"nei";3.5;83;84;"sat_kyrr";"7.1.2013"
"LAN203";"thorskur";185;115;52;2;NA;"ja";0;80;103;"hljop";"7.1.2013"
"LAN203";"landvaettir";167;NA;22;1;"nei";"ja";2;43;52;"sat_kyrr";"7.1.2013"
"STAE209";"thorskur";174;67;21;1;"nei";"ja";1;76;105;"hljop";"7.1.2013"
"STAE209";"thorskur";163;57;20;1;"nei";"ja";5;71;68;"sat_kyrr";"7.1.2013"
"STAE209";"landvaettir";175;59;20;1;"nei";"ja";5;65;65;"sat_kyrr";"7.1.2013"
"LAN203";"landvaettir";178;70;39;1;NA;"ja";3.5;77;75;"sat_kyrr";"7.1.2013"
"STAE209";"landvaettir";191;94;21;2;"nei";"ja";0;79;83;"sat_kyrr";"7.1.2013"
"STAE209";"thorskur";176;68;20;1;"nei";"ja";10;73;90;"hljop";"7.1.2013"
"LAN203";"landvaettir";176;82;70;2;"nei";"ja";14;65;78;"hljop";"7.1.2013"
"LAN203";"thorskur";189;81;22;2;"nei";"ja";0;60;80;"hljop";"7.1.2013"
"STAE209";"thorskur";167;82;32;2;"nei";"ja";4;77;78;"sat_kyrr";"7.1.2013"
"STAE209";"thorskur";174;65;22;1;"nei";"ja";0;89;136;"hljop";"7.1.2013"
"STAE209";"thorskur";175;79.2;25;2;"nei";"ja";1;89;93;"sat_kyrr";"7.1.2013"
"STAE209";"landvaettir";167;75;25;1;"nei";"ja";3;67;68;"sat_kyrr";"7.1.2013"
"LAN203";"landvaettir";164;58;22;1;"nei";"ja";1;73;72;"sat_kyrr";"7.1.2013"
"LAN203";"landvaettir";191;105;22;2;"nei";"ja";15;70;70;"sat_kyrr";"7.1.2013"
"LAN203";"landvaettir";182;75;23;2;NA;"nei";2.5;60;58;"sat_kyrr";"7.1.2013"
"STAE209";"landvaettir";157;51;20;1;"nei";"ja";0;82;77;"sat_kyrr";"7.1.2013"
"LAN203";"thorskur";182;88;24;2;"nei";"ja";6;50;50;"sat_kyrr";"7.1.2013"
"STAE209";"thorskur";177;67;20;1;"nei";"ja";7;53;53;"sat_kyrr";"7.1.2013"
"LAN203";"landvaettir";161;74;26;1;"nei";"ja";3;58;47;"sat_kyrr";"7.1.2013"
"STAE209";"thorskur";173;72;33;2;"ja";"ja";2;68;79;"hljop";"7.1.2013"
"STAE209";"landvaettir";176;61;25;1;"nei";"nei";3;NA;68;"sat_kyrr";"7.1.2013"
"STAE209";"landvaettir";170;59;21;1;"nei";"ja";4;66;68;"sat_kyrr";"7.1.2013"
"STAE209";"landvaettir";164;46;20;1;"nei";"ja";4;81;90;"hljop";"7.1.2013"
"STAE209";"thorskur";184;70;22;2;"nei";"ja";5;84;120;"hljop";"7.1.2013"
"STAE209";"landvaettir";159;48;20;1;"nei";"ja";6;56;58;"sat_kyrr";"7.1.2013"
"LAN203";"landvaettir";185;91;26;2;"nei";"ja";5;80;80;"sat_kyrr";"7.1.2013"
"LAN203";"landvaettir";158;58;22;1;"nei";"ja";8.5;74;71;"sat_kyrr";"7.1.2013"
